Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 21, 2023",$0.5011,$0.5215,$0.4948,$0.5215,"$90,231,338","$987,295,833"
"Dec 20, 2023",$0.4754,$0.5105,$0.471,$0.5011,"$82,390,353","$948,565,453"
"Dec 19, 2023",$0.4749,$0.4876,$0.4704,$0.4754,"$71,590,764","$900,012,599"
"Dec 18, 2023",$0.4822,$0.4846,$0.4474,$0.4748,"$96,036,058","$898,873,454"
"Dec 17, 2023",$0.5021,$0.5096,$0.4809,$0.4823,"$82,522,482","$913,024,171"
"Dec 16, 2023",$0.484,$0.5049,$0.4798,$0.5021,"$77,581,715","$950,526,453"
"Dec 15, 2023",$0.5138,$0.5139,$0.4839,$0.4839,"$77,297,560","$916,148,967"
"Dec 14, 2023",$0.5022,$0.5167,$0.4945,$0.5138,"$104,322,267","$972,601,574"
"Dec 13, 2023",$0.4947,$0.504,$0.4636,$0.5023,"$129,505,256","$950,892,111"
"Dec 12, 2023",$0.4896,$0.4972,$0.48,$0.4947,"$113,504,298","$936,439,281"
"Dec 11, 2023",$0.5318,$0.5333,$0.4734,$0.4896,"$249,999,821","$926,908,502"
"Dec 10, 2023",$0.5347,$0.5729,$0.5249,$0.5316,"$239,373,503","$1,006,417,087"
"Dec 09, 2023",$0.5209,$0.5502,$0.5206,$0.5348,"$178,217,337","$1,012,432,329"
"Dec 08, 2023",$0.502,$0.5227,$0.4871,$0.521,"$137,399,599","$986,232,944"
"Dec 07, 2023",$0.4727,$0.502,$0.466,$0.502,"$172,890,467","$950,345,695"
"Dec 06, 2023",$0.4699,$0.4928,$0.4617,$0.4726,"$173,981,748","$894,628,321"
"Dec 05, 2023",$0.4518,$0.4784,$0.4504,$0.4699,"$153,983,316","$889,478,935"
"Dec 04, 2023",$0.4504,$0.469,$0.4416,$0.4518,"$129,322,455","$855,236,231"
"Dec 03, 2023",$0.4582,$0.4599,$0.4452,$0.4505,"$79,345,245","$852,763,780"
"Dec 02, 2023",$0.4395,$0.4599,$0.4377,$0.4582,"$72,920,960","$867,467,164"
"Dec 01, 2023",$0.4321,$0.4412,$0.4289,$0.4396,"$63,262,384","$832,113,648"
"Nov 30, 2023",$0.4412,$0.4415,$0.43,$0.4321,"$60,050,441","$817,987,026"
"Nov 29, 2023",$0.4438,$0.4445,$0.4327,$0.4412,"$83,645,905","$835,183,663"
"Nov 28, 2023",$0.4403,$0.4442,$0.4241,$0.4438,"$87,569,795","$840,197,396"
"Nov 27, 2023",$0.4504,$0.4653,$0.4294,$0.4403,"$125,209,678","$833,577,218"
"Nov 26, 2023",$0.4633,$0.4674,$0.4446,$0.4505,"$147,861,394","$852,860,440"
"Nov 25, 2023",$0.4134,$0.4728,$0.4117,$0.4633,"$270,135,990","$877,004,743"
"Nov 24, 2023",$0.4055,$0.4169,$0.4047,$0.4134,"$64,648,937","$782,585,867"
"Nov 23, 2023",$0.4047,$0.4094,$0.3997,$0.4055,"$55,255,643","$767,578,896"
"Nov 22, 2023",$0.3783,$0.4087,$0.377,$0.4047,"$69,290,520","$766,105,448"
"Nov 21, 2023",$0.421,$0.428,$0.3774,$0.3784,"$86,771,443","$716,369,925"
"Nov 20, 2023",$0.4312,$0.436,$0.4193,$0.421,"$73,807,891","$796,982,048"
"Nov 19, 2023",$0.4173,$0.4337,$0.4092,$0.4313,"$55,038,692","$816,428,210"
"Nov 18, 2023",$0.4268,$0.4272,$0.398,$0.4172,"$70,607,181","$789,887,890"
"Nov 17, 2023",$0.4311,$0.4432,$0.4072,$0.4268,"$84,456,377","$807,897,047"
"Nov 16, 2023",$0.452,$0.4605,$0.4249,$0.4313,"$110,167,997","$816,422,192"
"Nov 15, 2023",$0.4268,$0.4543,$0.4218,$0.452,"$108,740,911","$855,639,466"
"Nov 14, 2023",$0.4465,$0.4496,$0.4084,$0.4268,"$124,739,092","$808,064,243"
"Nov 13, 2023",$0.4662,$0.4861,$0.4466,$0.4466,"$140,966,631","$845,522,564"
"Nov 12, 2023",$0.47,$0.4762,$0.452,$0.4662,"$114,121,344","$882,548,524"
"Nov 11, 2023",$0.4344,$0.5022,$0.416,$0.4701,"$213,603,002","$889,873,282"
"Nov 10, 2023",$0.4178,$0.4376,$0.4145,$0.4344,"$110,853,315","$822,296,101"
"Nov 09, 2023",$0.4278,$0.4474,$0.4035,$0.4177,"$145,864,371","$790,837,824"
"Nov 08, 2023",$0.4174,$0.4294,$0.4107,$0.4279,"$68,969,820","$809,963,896"
"Nov 07, 2023",$0.4237,$0.4343,$0.4006,$0.4174,"$104,637,743","$790,177,779"
"Nov 06, 2023",$0.4039,$0.4278,$0.4019,$0.4237,"$123,737,909","$802,143,246"
"Nov 05, 2023",$0.407,$0.4189,$0.3966,$0.4039,"$83,375,677","$764,646,989"
"Nov 04, 2023",$0.4,$0.4094,$0.3948,$0.407,"$58,381,115","$770,482,686"
"Nov 03, 2023",$0.4037,$0.4037,$0.3877,$0.4,"$78,509,120","$757,171,050"
"Nov 02, 2023",$0.3804,$0.4182,$0.3804,$0.4037,"$193,801,912","$764,301,354"
"Nov 01, 2023",$0.3639,$0.3804,$0.3526,$0.3803,"$72,214,902","$720,032,319"
"Oct 31, 2023",$0.3781,$0.38,$0.3546,$0.3639,"$74,908,915","$688,858,324"
"Oct 30, 2023",$0.379,$0.3881,$0.3683,$0.3781,"$78,917,362","$715,789,338"
"Oct 29, 2023",$0.3511,$0.3881,$0.3453,$0.379,"$107,785,711","$717,468,760"
"Oct 28, 2023",$0.3402,$0.3533,$0.3398,$0.351,"$32,989,581","$664,521,286"
"Oct 27, 2023",$0.3528,$0.3528,$0.3361,$0.3402,"$59,930,696","$644,063,081"
"Oct 26, 2023",$0.3465,$0.3652,$0.3366,$0.3528,"$116,679,456","$667,899,668"
"Oct 25, 2023",$0.3506,$0.3593,$0.3377,$0.3464,"$93,770,940","$655,823,043"
"Oct 24, 2023",$0.3257,$0.3538,$0.3242,$0.3505,"$151,882,912","$663,574,858"
"Oct 23, 2023",$0.3046,$0.3256,$0.3037,$0.3256,"$77,630,785","$616,482,927"
"Oct 22, 2023",$0.2989,$0.305,$0.2958,$0.3049,"$69,269,451","$577,127,004"
"Oct 21, 2023",$0.2866,$0.3025,$0.2866,$0.2989,"$32,739,156","$565,837,257"
"Oct 20, 2023",$0.2784,$0.2905,$0.2768,$0.2866,"$28,656,327","$542,524,856"
"Oct 19, 2023",$0.2772,$0.2795,$0.2729,$0.2783,"$18,313,283","$526,927,518"
"Oct 18, 2023",$0.2811,$0.2832,$0.2767,$0.2772,"$18,148,300","$524,785,440"
"Oct 17, 2023",$0.2886,$0.2886,$0.279,$0.2811,"$25,312,166","$532,078,482"
"Oct 16, 2023",$0.2856,$0.2977,$0.2856,$0.2886,"$35,507,977","$546,406,619"
"Oct 15, 2023",$0.2838,$0.2886,$0.283,$0.2856,"$15,752,166","$540,714,349"
"Oct 14, 2023",$0.2812,$0.2863,$0.281,$0.2838,"$18,504,252","$537,271,522"
"Oct 13, 2023",$0.2784,$0.2842,$0.2779,$0.2811,"$16,373,097","$532,230,777"
"Oct 12, 2023",$0.2783,$0.2795,$0.2746,$0.2784,"$16,929,875","$527,131,225"
"Oct 11, 2023",$0.2778,$0.2797,$0.2731,$0.2783,"$19,350,704","$526,925,035"
